GeneID,Base mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj,q,logFC
ANO1,189.957086863573,2.26811574244131,0.299135277278263,7.5822409281786385,3.39636815491084e-14,7.17711892798858e-12,11.14,2.27
NECTIN4,1218.85074797026,1.2966169581931102,0.171415335013182,7.564182971689191,3.9031001579846606e-14,8.150561028512531e-12,11.09,1.3
CBWD1,1258.31009210946,0.8238620994742499,0.108923454373965,7.56367950511096,3.91824461672652e-14,8.150561028512531e-12,11.09,0.82
SGPP1,4251.961527320829,1.00361164654965,0.132866460038754,7.55353643242182,4.235959481390081e-14,8.74315171716995e-12,11.06,1.0
UCHL1,5818.712603390661,-1.00031803269174,0.132672782127944,-7.53973811845649,4.70916183167991e-14,9.64508791771611e-12,11.02,-1.0
OSBPL10,1044.05072750072,0.559131300606878,0.0741931229856682,7.53616073978832,4.84009921686234e-14,9.81100247706505e-12,11.01,0.56
SGK1,1656.69272602118,1.6435869156013605,0.21811189522157892,7.53552168226151,4.8638636181649e-14,9.81100247706505e-12,11.01,1.64
PRDM6,169.955969773721,-1.38151093163189,0.1834021229229,-7.53268778798521,4.9706364343367e-14,9.95098990230444e-12,11.0,-1.38
RCBTB2,524.792637865178,-0.54508500849146,0.0724569137432573,-7.52288470942753,5.3580669092252603e-14,1.06465589197785e-11,10.97,-0.55
TSPAN14,12028.242503494299,0.37937368281393,0.0504928947200482,7.51340728071388,5.76079482287413e-14,1.13619942928775e-11,10.94,0.38
CYYR1,1390.9650339182801,-0.5692920391424521,0.0757834095638966,-7.5120932459822205,5.81893157496739e-14,1.13922700084619e-11,10.94,-0.57
SLC40A1,8216.31253249798,1.5160768206673998,0.202168304238234,7.49908263998132,6.42660030416931e-14,1.2490121145898699e-11,10.9,1.52
PID1,111.444702214389,1.9188039091986495,0.25599811248689003,7.49538303450151,6.610503132859e-14,1.27544388706887e-11,10.89,1.92
PLEKHF1,238.196473982362,0.9400797404184672,0.125559372789902,7.48713313494726,7.039428713846878e-14,1.3484304239919901e-11,10.87,0.94
TUBB4A,61.8091762015499,-2.1300871043392102,0.284842683360266,-7.47811767257194,7.53946759034832e-14,1.4338990290043902e-11,10.84,-2.13
GM2A,6007.34495331084,0.759751047751842,0.102030000324195,7.446349557363241,9.59583469848582e-14,1.79928658226679e-11,10.74,0.76
IFIT1,709.945919955854,2.87813602164107,0.38651232288099296,7.446427581371701,9.59016401360237e-14,1.79928658226679e-11,10.74,2.88
GREM2,99.1342650945997,2.4964040736303,0.335624186436044,7.4380934822943905,1.02148767064456e-13,1.90196718311762e-11,10.72,2.5
COL9A1,96.4259611718466,-2.03646899661711,0.27383731336163303,-7.436784168006071,1.0316590125949298e-13,1.90756617148282e-11,10.72,-2.04
SFMBT2,369.174115785028,0.867061920262163,0.11664352171923803,7.43343400029695,1.05814000216966e-13,1.94303694467375e-11,10.71,0.87
RP11-645C24.3,391.136951142294,-0.753332261561217,0.10140394124804,-7.4290234905024,1.0940231854803999e-13,1.9951685846987e-11,10.7,-0.75
CSF3R,1449.62231603482,2.48587157194434,0.33485765271195,7.4236665992601,1.13921712759991e-13,2.0634554584677103e-11,10.69,2.49
UPP1,1555.80426249327,1.30442434674985,0.17687578604983806,7.374804521758009,1.64586363318333e-13,2.95214207071457e-11,10.53,1.3
ZNF750,379.052125791158,1.21247542405243,0.164418910871232,7.37430638378332,1.65202872581864e-13,2.95214207071457e-11,10.53,1.21
CDKN1C,54.078343862042296,2.51095723979439,0.34063242101145,7.3714569867969,1.68773220438678e-13,2.99583717826682e-11,10.52,2.51
UBL3,3327.6845572760803,0.774144571180912,0.10504598067773,7.36957821885546,1.71168713188668e-13,3.0182371903056105e-11,10.52,0.77
ST8SIA4,129.474016820963,1.93677551369502,0.263194929492167,7.35871134535918,1.8569407932190894e-13,3.24533691923355e-11,10.49,1.94
PLCB1,712.3116764440532,1.34623052933325,0.18295790773486606,7.3581434440327795,1.86485596275345e-13,3.24533691923355e-11,10.49,1.35
ZNF354C,944.9815118434441,0.828023114139467,0.11278809938847903,7.34140497649036,2.1136319303152103e-13,3.65438725821901e-11,10.44,0.83
B3GALT1,158.593585688855,-1.5663181399931498,0.214091151107234,-7.316127415320442,2.55229334871036e-13,4.38434598082336e-11,10.36,-1.57
SYT9,102.91945508266,-1.74280492409787,0.23949225884929395,-7.27708249306952,3.41116687579537e-13,5.82216213044408e-11,10.23,-1.74
HSD3B1,2563.97479658934,2.63383152647044,0.3627373955977379,7.26098703479489,3.8427578365951204e-13,6.51702357689056e-11,10.19,2.63
CRYBG2,2135.9741532314,1.36550835374866,0.18826507298407,7.25311568473567,4.0729191908489286e-13,6.863642175667321e-11,10.16,1.37
WI2-1896O14.1,62.1815360801614,2.22520034611107,0.30721384499653803,7.243164272548149,4.3833544549606293e-13,7.34032677470326e-11,10.13,2.23
TIMP3,20170.8223405034,2.60933221252248,0.360631821946005,7.2354463852975295,4.64000419423007e-13,7.72154697972311e-11,10.11,2.61
TOGARAM2,76.3488714449413,-1.5701475128126698,0.21761654740938705,-7.21520275688808,5.38536734064361e-13,8.90626029888055e-11,10.05,-1.57
C10orf10,1081.14100161945,1.3848244335533,0.192185294261651,7.20567324817232,5.77577554010402e-13,9.49295058832158e-11,10.02,1.38
CD274,195.85778960082905,1.89826944092754,0.26349717579588605,7.204135813577019,5.841312247307421e-13,9.54176563784094e-11,10.02,1.9
KYNU,65.62425385405021,1.62505972127987,0.22568171104493,7.2006708640929284,5.99170217390934e-13,9.72774768795792e-11,10.01,1.63
IGSF5,208.85112658375095,1.45182950521514,0.20174531033905,7.196348221305421,6.18465612676536e-13,9.98016085037905e-11,10.0,1.45
STEAP2,218.360709717046,-1.30414992121784,0.18137124509674896,-7.190499908197499,6.455452066531371e-13,1.0354389561654501e-10,9.98,-1.3
RP4-555D20.1,23.087063629291602,-2.23828470672108,0.312326000038817,-7.1665013685793,7.69386307493578e-13,1.22402746513254e-10,9.91,-2.24
RGN,281.00020414382703,-1.77659808593562,0.24792112846092,-7.16598095920519,7.7231508353589e-13,1.22402746513254e-10,9.91,-1.78
CXCR6,96.412314087631,2.40835323444022,0.336511065824067,7.156832208600661,8.256264904244721e-13,1.30077697834568e-10,9.89,2.41
PCDHA10,986.540936519202,1.30262094317254,0.182993223843742,7.118410812221402,1.09178547564141e-12,1.7099929455546e-10,9.77,1.3
USP6,491.700041572707,-2.70766182636876,0.3824826395325721,-7.079175749460862,1.45014380866989e-12,2.25798415494997e-10,9.65,-2.71
DCAF6,4750.20780357946,0.7956145327006731,0.112471513240998,7.0739204068133406,1.5061669640959904e-12,2.33158148755929e-10,9.63,0.8
GNE,751.040019684775,0.8250760305579791,0.11667520901702,7.0715624810890105,1.53198795225398e-12,2.35784457900084e-10,9.63,0.83
GJA5,182.44647182923302,2.11167936885082,0.298730095224481,7.06885380016364,1.56218623126071e-12,2.39050405710044e-10,9.62,2.11
SPRR2D,11.0933288626965,2.5696848081264,0.36392811256183,7.0609681402115285,1.65346506220909e-12,2.51572347122167e-10,9.6,2.57
BCAR4,157.441057035956,2.14081868160384,0.303842225945975,7.04582345307229,1.8436789688665e-12,2.78919296733178e-10,9.55,2.14
PTGER3,28.0349385566077,2.28754701421001,0.32495731956657503,7.03953065978362,1.92888438017042e-12,2.90160878567331e-10,9.54,2.29
PCAT7,529.439184459426,-0.8533724399142409,0.121909299511037,-7.00006023606905,2.5585248404511492e-12,3.8271506967332803e-10,9.42,-0.85
IL1R1,615.581826452109,1.8454373487297904,0.26382898565010604,6.99482410616262,2.65591924343307e-12,3.95064278076251e-10,9.4,1.85
IFI35,163.683189531657,1.52756347322097,0.21898436450304,6.975673704776112,3.04408501952141e-12,4.5028782072098304e-10,9.35,1.53
TRPV6,2207.12967701648,1.11318767619703,0.16026813198042902,6.94578306018424,3.76366759331249e-12,5.53654217345516e-10,9.26,1.11
S100P,482.29001528338796,2.52747626846412,0.364277533352022,6.93832596593782,3.96773380355697e-12,5.80466375019274e-10,9.24,2.53
EDNRB,3764.07007687455,0.9444426251450028,0.13619237487134,6.9346218981585,4.07309063757665e-12,5.92623559104458e-10,9.23,0.94
TINCR,1539.71911666742,1.04141632017914,0.150490957839927,6.9201255352954005,4.51243592375961e-12,6.52978907097954e-10,9.19,1.04
DRAXIN,2047.7334292554294,-0.9381454567164648,0.13589137447098498,-6.903642415632301,5.06857921014963e-12,7.29491838105103e-10,9.14,-0.94
FOXO6,280.766375615259,1.49826316216014,0.21710742546016296,6.90102219665934,5.16296640021003e-12,7.39081415978453e-10,9.13,1.5
TNFSF10,17.5282279511943,2.47726815765537,0.359243779709777,6.89578580777845,5.35678568746404e-12,7.62726073339131e-10,9.12,2.48
FAM159B,64.4959331223226,-1.4919101408698,0.2165306669979,-6.8900639413089095,5.5767315875828795e-12,7.85640503973449e-10,9.1,-1.49
RP11-328P23.4,48.3230336120795,-1.5935505460161798,0.231262066530625,-6.8906698358381915,5.553028550367661e-12,7.85640503973449e-10,9.1,-1.59
GPR27,376.979151984987,-1.20553077504929,0.175803555945739,-6.857260472145281,7.01935788648341e-12,9.83670647818459e-10,9.01,-1.21
KIT,652.997001261454,-1.49107186350322,0.217605092626494,-6.852191947835308,7.2726878881750704e-12,1.01383553775157e-09,8.99,-1.49
WDR35,1233.61900514437,-0.582101090405413,0.0850077386510905,-6.84762469443651,7.50862367757229e-12,1.04127403145333e-09,8.98,-0.58
PDZRN4,217.933137308741,-1.7839500939799198,0.260645214482781,-6.844361587531741,7.68176685189482e-12,1.05976541035519e-09,8.97,-1.78
ITGA7,1384.57861402359,-0.7309277639900079,0.10681977200130198,-6.8426261383623,7.77543869616443e-12,1.06715892125811e-09,8.97,-0.73
SPRY2,670.5356224104651,-0.826521904199876,0.120810835320729,-6.84145508973284,7.83927819551251e-12,1.07040318581393e-09,8.97,-0.83
FGF13,289.866324388402,-1.31181064207434,0.191765073249386,-6.84071723722265,7.879765543467509e-12,1.07044202734881e-09,8.97,-1.31
LIMA1,9731.14263095157,0.700118817999682,0.102572406080013,6.82560587935849,8.75549978211673e-12,1.18337023958701e-09,8.93,0.7
