,Human_ABCD1_1,Human_ABCD1_2,Human_ABCD1_3,Human_NT_1,Human_NT_2,Human_NT_3
DDX11L1,0.0,1.217,0.92,0.0,1.988,0.867
WASH7P,25.774,38.939,18.398,40.293,56.661,28.625
MIR6859-1,9.205,8.518,7.359,11.664,2.982,6.939
RP11-34P13.7,0.0,0.0,0.0,0.0,0.994,0.0
RP11-34P13.15,1.841,0.0,0.0,0.0,0.0,0.867
RP11-34P13.16,1.841,0.0,0.0,3.181,3.976,2.602
RP11-34P13.14,0.0,0.0,0.0,1.06,0.0,0.0
RP11-34P13.13,0.0,0.0,2.76,5.302,1.988,0.867
ABC7-43046700E7.1,0.0,2.434,1.84,7.422,4.97,3.47
RP11-34P13.18,67.197,83.961,89.231,114.516,134.197,56.383
MIR6859-2,0.0,0.0,0.0,0.0,0.994,0.867
AP006222.1,6.444,9.735,4.6,14.845,5.964,17.349
RPL23AP24,5.523,4.867,4.6,5.302,6.958,3.47
RP4-669L17.4,7.364,1.217,0.92,4.241,2.982,5.205
OR4F29,0.0,1.217,0.0,1.06,0.0,0.0
RF00026,8.285,9.735,6.439,11.664,13.917,7.807
RP11-206L10.17,2.762,1.217,0.0,0.0,0.994,2.602
RP5-857K21.9,1.841,7.301,1.84,0.0,8.946,4.337
RP5-857K21.8,211.715,285.955,269.533,287.35,348.913,348.707
RP5-857K21.6,275.23,324.893,283.331,253.42,277.341,274.108
RP5-857K21.7,6.444,1.217,11.039,6.362,12.923,12.144
RP5-857K21.14,0.0,0.0,0.92,1.06,0.0,0.0
RP5-857K21.10,1458.993,1764.402,1665.95,1301.029,1572.592,1546.628
RP5-857K21.11,15.649,23.12,20.238,9.543,20.875,6.939
OR4F16,0.0,1.217,0.0,1.06,0.0,0.0
RP11-206L10.15,5.523,0.0,0.0,2.121,0.0,3.47
RP11-206L10.2,50.628,37.722,26.677,26.508,46.72,64.19
RNU6-1199P,0.0,1.217,1.84,0.0,0.994,0.0
RP11-206L10.4,0.0,0.0,0.92,0.0,0.0,0.0
RP11-206L10.9,34.979,66.926,56.114,31.81,29.822,38.167
RP11-206L10.8,10.126,15.819,2.76,10.603,1.988,3.47
FAM87B,14.728,2.434,8.279,10.603,8.946,10.409
RP11-206L10.11,254.058,251.884,207.899,119.818,126.245,146.596
NCRNA00115,20.251,18.252,11.959,20.146,21.869,13.879
FAM41C,0.0,0.0,0.0,0.0,0.994,0.0
RP11-54O7.1,0.0,2.434,0.0,0.0,3.976,2.602
RP11-54O7.3,0.0,0.0,1.84,0.0,0.0,0.0
SAMD11,3.682,0.0,0.0,0.0,0.0,2.602
NOC2L,970.207,1005.101,985.22,1198.176,1117.315,1104.238
KLHL17,83.766,113.165,76.352,170.714,124.257,148.331
PLEKHN1,1.841,4.867,8.279,13.784,22.863,9.542
PERM1,3.682,2.434,0.0,6.362,0.994,1.735
RP11-54O7.17,0.0,1.217,0.0,6.362,2.982,5.205
HES4,14.728,13.385,20.238,90.128,107.358,52.046
ISG15,6657.98,6247.2,6365.752,10063.622,9498.175,9355.233
RP11-54O7.11,1.841,0.0,0.0,4.241,5.964,3.47
AGRN,629.622,783.638,757.083,1254.374,1173.976,1137.201
RP11-465B22.3,4.603,2.434,3.68,12.724,15.905,16.481
RP11-54O7.18,0.0,0.0,0.0,0.0,0.994,0.867
C1orf159,105.858,79.094,85.551,161.171,130.221,117.103
RP11-465B22.8,0.0,0.0,0.0,0.0,1.988,1.735
TNFRSF4,4.603,4.867,3.68,2.121,1.988,0.0
SDF4,2194.473,2364.299,2477.308,2147.175,2062.66,2083.567
B3GALT6,266.945,267.702,236.416,95.43,86.483,78.936
C1QTNF12,2.762,2.434,5.519,8.483,7.952,3.47
RP5-902P8.12,9.205,3.65,1.84,0.0,9.941,5.205
UBE2J2,480.501,492.816,510.548,743.294,700.807,629.754
RP5-902P8.10,0.921,10.951,9.199,6.362,3.976,4.337
SCNN1D,40.502,26.77,41.396,21.207,52.685,32.095
ACAP3,388.451,362.615,384.521,463.366,422.472,456.268
PUSL1,92.971,135.068,98.43,156.929,111.334,104.092
INTS11,1103.68,1080.544,1170.121,1103.807,1074.571,866.563
RP5-890O3.9,20.251,23.12,21.158,24.388,16.899,24.288
CPTP,207.113,221.463,264.933,400.806,412.532,358.249
TAS1R3,14.728,17.036,18.398,12.724,11.929,8.674
DVL1,367.28,373.566,395.56,516.382,586.491,444.124
MXRA8,26.695,9.735,27.597,18.026,1.988,13.879
AURKAIP1,760.333,889.502,831.595,1048.669,989.083,870.9
RP5-890O3.3,0.0,0.0,0.0,0.0,0.0,1.735
CCNL2,2608.698,2675.807,2723.843,3030.432,2992.099,2798.329
RP4-758J18.2,188.703,203.21,217.098,236.454,214.715,189.967
MRPL20,1077.906,1045.256,1057.892,847.206,827.052,804.108
RP4-758J18.13,41.423,24.337,41.396,39.232,40.756,31.227
ANKRD65,1.841,4.867,1.84,6.362,1.988,1.735
RP4-758J18.10,0.0,0.0,1.84,2.121,1.988,0.0
VWA1,20.251,19.469,12.879,21.207,18.887,20.818
ATAD3C,0.0,0.0,0.0,0.0,1.988,0.0
ATAD3B,354.393,365.049,360.603,588.485,587.485,547.348
RP5-832C2.8,0.0,2.434,5.519,2.121,0.0,3.47
ATAD3A,446.443,459.961,505.029,603.33,592.456,510.049
TMEM240,9.205,43.806,18.398,13.784,23.857,26.89
SSU72,1356.818,1559.975,1418.495,1216.202,1177.953,1123.322
RP5-832C2.5,20.251,20.686,16.558,16.965,37.774,12.144
C1orf233,0.0,2.434,1.84,8.483,5.964,10.409
RP11-345P4.9,26.695,31.638,18.398,12.724,37.774,18.216
MIB2,269.707,281.087,239.176,214.187,212.727,212.52
MMP23B,0.0,2.434,0.92,0.0,0.994,0.0
CDK11B,370.041,431.974,424.997,430.495,418.496,374.73
SLC35E2B,1005.186,1011.185,1061.572,631.959,647.128,559.492
RP11-345P4.6,39.582,49.89,36.796,51.956,50.697,26.023
MMP23A,0.0,0.0,0.0,2.121,0.0,0.0
CDK11A,17.49,20.686,10.119,26.508,24.851,21.686
RP1-283E3.8,73.64,65.709,71.753,72.103,69.584,57.25
RP1-283E3.4,8.285,4.867,10.119,21.207,15.905,5.205
SLC35E2,478.66,551.224,503.189,371.117,342.948,326.154
NADK,797.153,754.434,832.515,1041.247,1096.44,986.268
GNB1,6165.512,6383.485,6343.674,5168.064,5130.307,4980.783
RP1-140A9.1,5.523,2.434,4.6,9.543,6.958,3.47
CALML6,0.0,2.434,1.84,4.241,9.941,3.47
TMEM52,0.0,4.867,0.0,4.241,9.941,6.939
CFAP74,0.0,0.0,0.0,0.0,0.0,1.735
PRKCZ,0.0,4.867,0.0,5.302,12.923,6.072
RP5-892K4.1,0.0,0.0,0.0,0.0,1.988,0.0
RP11-181G12.2,3.682,0.0,0.0,4.241,0.0,3.47
FAAP20,183.18,176.44,175.702,274.626,260.442,259.362
SKI,567.949,754.434,716.607,578.942,552.693,574.239
MORN1,86.527,93.696,79.112,162.231,133.203,137.921
RP4-740C4.5,0.0,0.0,3.68,16.965,11.929,13.011
RP4-740C4.7,0.0,0.0,0.0,2.121,1.988,3.47
RER1,1651.378,1631.768,1692.628,1848.161,1898.641,1781.701
PEX10,286.276,271.353,316.448,429.435,451.3,359.983
PANK4,0.0,4.867,0.0,2.121,0.0,1.735
TNFRSF14,4.603,6.084,1.84,4.241,48.709,3.47
FAM213B,1.841,2.434,1.84,4.241,3.976,1.735
ARHGEF16,7.364,9.735,5.519,16.965,15.905,12.144
RP11-168F9.2,1.841,0.0,0.0,0.0,1.988,3.47
MEGF6,331.38,447.793,530.786,502.598,495.038,463.208
MIR551A,0.0,0.0,0.0,0.0,0.0,0.867
RP11-46F15.2,1.841,1.217,1.84,2.121,1.988,1.735
TPRG1L,1160.751,1162.072,1179.32,1261.796,1283.322,1252.569
WRAP73,231.046,248.233,301.729,360.513,307.162,348.707
TP73,4.603,0.0,4.6,11.664,1.988,5.205
RP5-1092A11.5,0.0,2.434,0.0,1.06,0.0,0.0
TP73-AS1,330.46,326.11,372.562,572.58,504.979,524.795
CCDC27,0.0,0.0,0.0,0.0,0.0,0.867
SMIM1,5.523,9.735,3.68,2.121,8.946,1.735
LRRC47,848.701,820.143,864.712,787.828,826.058,754.664
RN7SL574P,3.682,0.0,0.92,0.0,0.0,0.867
RP1-286D6.5,18.41,18.252,6.439,25.448,8.946,21.686
CEP104,460.25,451.444,407.518,885.378,931.428,909.067
DFFB,108.619,96.129,73.593,164.352,194.834,138.789
C1orf174,185.021,131.418,160.984,435.797,405.574,433.715
RP13-15E13.1,3.682,4.867,3.68,9.543,9.941,6.939
NPHP4,87.448,135.068,94.75,166.472,159.048,111.898
KCNAB2,104.017,139.935,91.071,43.474,49.703,58.985
CHD5,3.682,3.65,7.359,2.121,1.988,1.735
RPL22,5093.129,5500.067,5008.89,4834.059,4872.847,5132.583
RP1-120G22.11,0.0,2.434,0.0,0.0,7.952,2.602
RNF207,85.607,76.66,73.593,62.56,45.726,101.489
ICMT,1261.086,1444.376,1451.612,1290.425,1266.423,1260.376
LINC00337,5.523,4.867,6.439,2.121,3.976,7.807
GPR153,77.322,69.359,65.313,56.198,42.744,71.129
ACOT7,740.082,652.22,648.534,489.874,497.026,491.833
HES2,46.025,41.372,51.515,174.955,207.757,152.668
ESPN,4.603,2.434,0.92,6.362,0.0,3.47
MIR4252,0.0,0.0,0.0,0.0,0.0,1.735
RP1-202O8.2,0.0,0.0,0.0,0.0,0.0,0.867
TNFRSF25,111.381,110.731,116.828,335.065,350.901,359.116
PLEKHG5,828.45,838.395,849.074,1678.507,1638.199,1445.138
NOL9,1153.387,1117.049,1083.65,1188.633,1170.994,1135.466
RNU6-731P,0.0,2.434,1.84,0.0,0.0,1.735
RP11-58A11.2,7.364,8.518,15.638,16.965,10.935,18.216
TAS1R1,0.0,0.0,2.76,1.06,0.0,3.47
ZBTB48,256.82,215.379,230.896,299.014,311.139,291.456
KLHL21,516.401,637.618,633.815,581.063,594.444,569.902
PHF13,264.184,223.897,305.409,199.343,241.555,237.676
THAP3,163.849,209.295,179.382,224.791,210.739,209.051
DNAJC11,849.622,918.706,871.151,783.586,722.676,708.69
RP11-312B8.1,1.841,2.434,3.68,6.362,3.976,3.47
CAMTA1,314.811,305.424,277.812,352.031,300.204,370.393
RP11-312B8.2,5.523,0.0,5.519,4.241,1.988,0.867
RP3-453P22.1,0.0,0.0,0.92,0.0,0.0,0.867
RP3-453P22.2,0.0,0.0,0.0,1.06,0.0,1.735
RP11-338N10.2,0.0,0.0,0.0,0.0,1.988,0.0
RP11-338N10.3,0.0,0.0,0.0,0.0,0.0,2.602
VAMP3,1707.528,1895.819,1877.529,3569.081,3510.001,3629.327
RP3-467L1.6,11.046,12.168,7.359,12.724,18.887,18.216
PER3,41.423,17.036,27.597,79.525,119.286,85.008
RP3-467L1.4,0.0,0.0,1.84,2.121,0.0,1.735
TNFRSF9,0.0,0.0,0.0,21.207,15.905,13.011
PARK7,2064.683,2147.703,2090.027,1322.235,1287.299,1293.338
RF00019,681.17,614.499,589.66,566.218,509.949,575.106
CTA-215D11.6,48.787,17.036,15.638,43.474,23.857,27.758
CTA-215D11.5,1.841,3.65,0.0,0.0,0.0,3.47
ERRFI1,1255.563,1314.175,1240.034,2988.019,3063.671,3219.033
RP11-431K24.1,5.523,0.0,10.119,21.207,15.905,10.409
RP11-431K24.4,0.0,0.0,0.0,2.121,0.0,0.0
SLC45A1,19.331,24.337,24.837,12.724,21.869,25.155
RERE,497.991,575.56,575.861,400.806,513.925,542.144
RP5-1115A15.1,12.887,4.867,5.519,5.302,14.911,8.674
RF00599,0.0,0.0,0.0,0.0,1.988,1.735
RP5-1115A15.2,0.921,2.434,2.76,3.181,1.988,1.735
RP4-633I8.1,11.967,9.735,6.439,3.181,6.958,0.867
RP4-633I8.2,11.967,4.867,9.199,12.724,5.964,12.144
RP4-633I8.3,6.444,1.217,9.199,4.241,6.958,6.072
RP4-633I8.4,11.046,3.65,11.039,5.302,11.929,12.144
RP11-185B14.1,0.0,0.0,0.0,0.0,1.988,0.0
ENO1,13744.913,13735.565,13463.748,15928.324,15318.355,15731.711
MIR6728,1.841,0.0,0.0,2.121,0.0,0.0
RP3-477M7.3,5.523,2.434,0.0,1.06,1.988,6.939
RP3-477M7.6,0.921,0.0,0.0,0.0,0.0,0.0
CA6,0.0,0.0,0.0,2.121,0.0,0.0
SLC2A5,1.841,0.0,0.0,0.0,0.0,0.0
RF00424,1.841,6.084,2.76,0.0,1.988,0.867
GPR157,83.766,86.395,87.391,57.258,36.78,41.637
MIR34AHG,677.488,528.104,578.621,1002.015,885.701,946.366
RP3-510D11.2,96.653,83.961,71.753,41.353,46.72,49.444
H6PD,508.116,446.576,458.113,1181.211,1170.994,1139.803
SPSB1,868.952,944.259,986.14,360.513,394.639,346.972
CTD-2510L9.2,1.841,8.518,3.68,0.0,5.964,1.735
CTD-2510L9.1,58.912,55.974,28.517,19.086,38.768,21.686
SLC25A33,174.895,181.308,160.984,205.705,191.852,209.051
RP13-15M17.1,5.523,9.735,5.519,9.543,4.97,7.807
TMEM201,75.481,109.515,80.032,163.291,140.161,153.535
PIK3CD,120.586,111.948,145.345,230.092,270.382,228.134
RP11-558F24.4,20.251,4.867,13.799,10.603,5.964,5.205
CLSTN1,3423.341,4101.93,4283.084,2245.786,2316.143,2144.287
RP11-558F24.6,0.0,0.0,0.0,0.0,0.0,1.735
RP11-84A14.7,0.0,0.0,0.0,2.121,0.0,0.0
CTNNBIP1,377.405,401.554,359.683,737.992,768.403,750.327
LZIC,562.426,540.272,602.539,451.702,431.419,407.692
RP11-84A14.4,10.126,8.518,12.879,6.362,7.952,17.349
NMNAT1,325.857,350.447,322.887,247.058,221.674,233.339
RN7SKP269,3.682,4.867,11.039,4.241,4.97,3.47
RP11-84A14.6,5.523,8.518,11.039,6.362,7.952,8.674
MIR5697,0.0,0.0,1.84,3.181,0.994,2.602
UBE4B,1566.692,1663.405,1630.994,1202.418,1268.411,1259.508
RP11-496H15.2,0.921,0.0,3.68,6.362,0.0,0.0
RP11-496H15.3,3.682,2.434,0.0,6.362,2.982,1.735
RNU6-828P,1.841,0.0,0.0,1.06,0.0,0.0
KIF1B,3022.923,3150.37,3026.492,2195.95,2212.762,2284.811
MIR1273D,1.841,0.0,0.0,0.0,0.0,1.735
RNU6-37P,0.921,1.217,1.84,0.0,0.0,3.47
RP4-736L20.4,8.285,7.301,7.359,5.302,9.941,6.939
RP4-736L20.5,11.967,2.434,5.519,10.603,1.988,15.614
PGD,8303.835,8823.227,8521.092,11548.088,10890.844,11697.294
RP4-736L20.3,0.0,0.0,0.0,0.0,0.0,0.867
APITD1-CORT,3.682,2.434,1.84,2.121,0.0,1.735
CENPS,16.569,13.385,7.359,6.362,12.923,13.011
CORT,3.682,0.0,1.84,3.181,3.976,0.867
DFFA,1179.161,1183.975,1116.766,998.834,1004.987,1027.905
PEX14,346.108,380.867,391.88,471.848,478.139,492.7
RN7SL614P,1.841,2.434,0.0,0.0,2.982,0.0
CASZ1,9.205,0.0,6.439,36.051,43.738,39.902
RP4-734G22.3,0.0,0.0,3.68,9.543,9.941,6.072
CFLP6,0.0,0.0,0.0,0.0,0.0,1.735
TARDBP,439.999,433.191,445.235,742.233,818.106,798.036
MASP2,22.092,8.518,30.357,57.258,50.697,56.383
RP4-635E18.8,4.603,10.951,4.6,15.905,19.881,7.807
SRM,46.946,55.974,49.675,675.432,632.218,628.887
EXOSC10,1134.977,1204.661,1056.972,1287.244,1286.304,1275.99
RP4-635E18.7,4.603,0.0,5.519,6.362,0.994,4.337
RP4-635E18.6,5.523,0.0,7.359,5.302,5.964,11.277
MTOR,4320.829,4894.086,4685.083,2128.089,2315.149,2241.439
RP11-99P18.1,13.808,6.084,6.439,10.603,2.982,12.144
RNU6-537P,0.0,2.434,0.0,1.06,0.0,0.0
ANGPTL7,13.808,12.168,14.719,15.905,23.857,12.144
RNU6-291P,0.0,0.0,0.92,0.0,0.0,0.0
RP4-647M16.1,4.603,0.0,3.68,2.121,1.988,0.867
UBIAD1,113.222,104.647,86.471,388.082,420.484,439.787
RP4-796F18.2,0.0,2.434,0.0,2.121,3.976,1.735
DISP3,0.921,2.434,0.0,6.362,0.0,3.47
FBXO2,7.364,9.735,9.199,14.845,10.935,15.614
FBXO44,183.18,242.149,200.54,258.721,276.347,234.206
FBXO6,140.837,176.44,151.785,194.041,203.781,200.376
MAD2L2,229.205,247.016,208.819,470.788,430.425,398.15
DRAXIN,11.967,13.385,15.638,4.241,5.964,10.409
AGTRAP,528.367,545.139,539.065,322.341,378.734,353.044
MTHFR,1678.072,1544.156,1609.836,852.508,822.082,824.059
CLCN6,682.091,552.44,574.941,820.698,709.754,681.8
NPPA-AS1,4.603,1.217,2.76,7.422,10.935,2.602
NPPA,3.682,7.301,7.359,9.543,4.97,6.939
RNU5E-1,20.251,18.252,22.998,6.362,11.929,14.746
RNU5E-4P,1.841,2.434,1.84,1.06,2.982,4.337
KIAA2013,1096.316,1042.822,1092.849,1030.644,1024.869,896.055
PLOD1,4956.895,5232.364,5361.214,3528.789,3712.788,3572.077
MFN2,3113.133,3222.163,3369.617,3644.365,3486.144,3648.411
RP5-1077B9.5,1.841,0.0,0.0,0.0,0.0,0.0
MIIP,288.117,327.327,273.212,348.85,348.913,330.491
RN7SL649P,0.0,0.0,0.0,0.0,1.988,0.0
TNFRSF8,0.0,2.434,1.84,2.121,2.982,0.0
TNFRSF1B,443.681,459.961,467.312,721.027,640.17,634.959
RP5-1118D24.2,0.0,0.0,0.92,0.0,0.0,0.0
RF00156,12.887,6.084,5.519,7.422,6.958,10.409
VPS13D,3528.278,3545.84,3539.799,3256.283,3612.388,3565.137
SNORA59A,1.841,6.084,8.279,2.121,7.952,6.072
RP5-888M10.2,3.682,2.434,1.84,0.0,0.0,0.0
DHRS3,956.4,865.165,929.105,226.911,260.442,234.206
RNU6ATAC18P,1.841,0.0,0.0,0.0,0.0,1.735
MIR6730,0.0,0.0,0.92,0.0,0.0,0.0
RP11-474O21.5,12.887,8.518,13.799,10.603,1.988,6.939
HNRNPCL1,0.0,0.0,0.92,0.0,0.0,0.0
HNRNPCL2,0.0,0.0,0.0,0.0,0.0,1.735
RF00564,3.682,0.0,0.0,0.0,0.0,1.735
PRDM2,762.174,747.133,797.559,693.458,679.932,688.739
KAZN,1.841,7.301,5.519,3.181,11.929,3.47
TMEM51-AS1,0.0,4.867,8.279,2.121,0.0,1.735
TMEM51,218.159,237.282,218.018,186.619,186.882,205.581
C1orf195,23.013,2.434,10.119,8.483,2.982,5.205
RP1-21O18.3,5.523,4.867,4.6,2.121,5.964,3.47
RP5-903E17.2,7.364,0.0,0.0,0.0,0.994,1.735
FHAD1,15.649,8.518,1.84,5.302,7.952,1.735
RP3-467K16.4,7.364,6.084,5.519,2.121,0.994,1.735
EFHD2,1085.27,1017.269,1048.693,1232.107,1048.726,1112.913
CTRC,0.0,0.0,1.84,0.0,0.0,0.0
CELA2A,0.0,0.0,0.0,0.0,0.0,1.735
CELA2B,0.921,0.0,0.92,3.181,1.988,0.867
CASP9,138.075,182.524,158.224,134.662,143.144,143.126
DNAJC16,741.003,787.288,807.678,1204.538,1191.869,1301.145
SCARNA21B,1.841,0.0,4.6,0.0,1.988,0.867
RP4-680D5.8,0.0,2.434,0.0,5.302,1.988,1.735
AGMAT,19.331,12.168,13.799,28.629,10.935,20.818
RP4-680D5.2,1.841,0.0,0.0,0.0,0.0,1.735
RP4-680D5.3,0.921,1.217,3.68,4.241,5.964,0.0
DDI2,605.689,620.583,619.097,660.588,725.659,704.353
RP4-680D5.9,0.0,0.0,0.92,0.0,0.0,0.0
PLEKHM2,1285.019,1321.476,1532.564,1034.885,1147.137,1030.507
RP11-288I21.1,14.728,17.036,22.078,13.784,19.881,16.481
SLC25A34,23.013,6.084,13.799,36.051,24.851,19.951
RP11-169K16.4,20.251,7.301,10.119,11.664,11.929,11.277
TMEM82,5.523,18.252,3.68,29.689,22.863,19.083
FBLIM1,2023.26,1887.302,1906.046,5063.091,4958.336,4812.502
RP11-169K16.6,5.523,4.867,1.84,7.422,2.982,9.542
UQCRHL,236.569,247.016,264.013,198.282,234.596,253.29
RP11-169K16.8,0.0,0.0,1.84,1.06,0.0,6.072
RP11-169K16.9,43.264,23.12,32.197,51.956,54.673,48.576
SPEN,866.191,860.298,1011.897,925.671,972.184,957.643
RP1-134O19.3,3.682,1.217,0.0,0.0,1.988,4.337
ZBTB17,289.037,301.774,298.05,437.918,379.728,371.26
RP11-5P18.1,3.682,0.0,2.76,0.0,1.988,1.735
C1orf64,0.0,0.0,0.0,2.121,0.0,0.0
CLCNKA,0.921,0.0,0.0,0.0,0.0,0.0
RP11-5P18.10,0.0,0.0,0.0,2.121,0.994,0.0
CLCNKB,0.921,0.0,0.0,2.121,0.0,0.867
FAM131C,0.0,3.65,1.84,3.181,0.994,3.47
EPHA2,893.806,962.512,991.659,4138.48,4332.083,4037.019
RP11-276H7.2,30.377,8.518,18.398,27.569,29.822,32.095
RP11-276H7.3,0.921,0.0,0.92,12.724,2.982,2.602
ARHGEF19,144.519,116.816,156.384,109.214,129.227,92.815
ANO7P1,16.569,17.036,16.558,26.508,28.828,17.349
RSG1,63.515,60.841,80.032,104.973,88.471,73.732
MTL1,0.921,2.434,0.0,0.0,0.0,0.867
FBXO42,919.58,990.499,946.584,572.58,614.325,560.36
SZRD1,1089.873,1349.463,1194.038,2208.674,2092.481,2012.438
RP11-430L17.1,11.967,4.867,6.439,6.362,7.952,11.277
SPATA21,9.205,3.65,9.199,13.784,3.976,6.939
NECAP2,2819.493,2952.027,3030.171,2640.23,2525.888,2669.082
RP4-798A10.2,43.264,46.239,37.716,39.232,45.726,34.697
CROCCP3,147.28,115.599,126.947,133.602,102.387,121.44
RNU1-1,163.849,160.621,173.862,171.774,212.727,199.509
RP4-798A10.7,0.921,2.434,1.84,4.241,0.0,2.602
RP4-798A10.4,2.762,7.301,1.84,2.121,8.946,0.0
RP5-875O13.1,18.41,20.686,16.558,11.664,21.869,31.227
RNU1-6P,0.0,0.0,0.0,0.0,0.994,0.0
RP5-875O13.6,0.0,0.0,0.0,0.0,1.988,0.0
NBPF1,625.94,564.609,597.939,417.771,403.585,399.885
RP5-1182A14.5,0.0,0.0,0.0,1.06,1.988,0.867
CROCCP2,238.41,199.56,207.899,331.884,307.162,290.589
MST1P2,36.82,24.337,31.277,24.388,31.81,44.239
RNU1-3,126.109,121.683,126.947,138.904,168.989,172.619
EIF1AP1,107.699,137.502,105.789,153.748,144.138,150.065
RP5-1182A14.7,0.0,0.0,0.0,0.0,1.988,2.602
CROCC,258.661,287.172,270.452,403.987,327.043,316.612
RP1-163M9.5,0.0,0.0,0.0,1.06,0.0,0.0
RNU1-4,98.494,99.78,112.229,90.128,156.066,157.872
MST1L,14.728,15.819,11.039,23.327,14.911,27.758
RP11-108M9.1,0.0,0.0,0.92,0.0,0.0,0.0
RP11-108M9.3,33.138,19.469,35.876,36.051,45.726,37.299
RP11-108M9.4,33.138,36.505,34.037,14.845,15.905,16.481
RP11-108M9.5,1.841,7.301,3.68,1.06,4.97,1.735
RNU1-2,141.757,127.767,155.464,115.576,188.87,217.725
RP11-108M9.6,1.841,9.735,7.359,6.362,3.976,5.205
MFAP2,1309.872,1334.861,1332.024,549.253,671.98,582.046
RP1-37C10.3,5.523,2.434,6.439,2.121,2.982,1.735
ATP13A2,1019.914,1046.473,1148.963,809.034,822.082,732.111
SDHB,1174.559,1194.926,1107.567,1028.523,1009.958,1019.23
PADI2,0.0,0.0,0.0,0.0,1.988,1.735
PADI3,0.0,0.0,1.84,0.0,0.0,0.0
PADI4,0.0,0.0,0.0,0.0,0.994,0.0
PADI6,0.0,0.0,0.0,0.0,1.988,0.0
RCC2,2516.648,2651.47,2584.017,3552.116,3457.316,3317.052
ARHGEF10L,105.858,165.489,128.787,197.222,195.828,161.342
TAS1R2,1.841,0.0,0.0,0.0,0.0,0.0
RP13-279N23.2,0.0,0.0,0.0,2.121,0.0,0.0
ALDH4A1,329.539,369.916,372.562,174.955,157.06,159.607
MIR1290,0.921,0.0,0.92,0.0,0.0,0.0
IFFO2,697.739,699.677,621.857,1433.57,1459.27,1342.782
RP5-1126H10.2,19.331,32.854,24.837,13.784,18.887,15.614
UBR4,8663.75,9047.123,9041.759,8341.641,8170.121,8315.184
RP1-43E13.2,2.762,0.0,2.76,4.241,12.923,10.409
EMC1,3322.086,3444.843,3543.479,3025.13,2745.574,2890.277
MRTO4,431.715,452.66,357.844,756.018,795.242,850.081
AKR7L,7.364,1.217,1.84,8.483,9.941,7.807
AKR7A3,7.364,3.65,2.76,2.121,6.958,6.939
RP4-657E11.10,13.808,10.951,4.6,8.483,10.935,4.337
AKR7A2,518.242,582.861,527.106,668.01,758.462,687.005
RNU6-1099P,0.0,2.434,1.84,0.0,0.0,0.0
PQLC2,223.682,197.126,264.933,358.393,358.853,335.695
CAPZB,2549.786,2619.833,2464.429,2383.629,2324.096,2396.709
MINOS1,150.962,161.838,172.942,136.783,152.09,171.751
NBL1,419.748,456.311,460.873,484.572,430.425,412.897
MINOS1-NBL1,0.0,3.65,0.0,0.0,0.0,0.0
RP5-1056L3.3,11.967,14.602,11.039,9.543,9.941,19.083
HTR6,0.0,0.0,5.519,0.0,0.0,0.0
TMCO4,238.41,309.075,292.53,141.024,143.144,152.668
OTUD3,266.025,223.897,237.336,399.746,368.794,424.173
PLA2G2E,0.0,0.0,0.0,0.0,0.994,0.0
PLA2G5,0.0,0.0,0.0,2.121,0.0,0.0
PLA2G2D,0.0,0.0,0.0,0.0,1.988,0.0
UBXN10,3.682,4.867,3.68,0.0,0.0,0.0
CAMK2N1,7.364,7.301,9.199,2.121,7.952,3.47
MUL1,519.162,483.081,477.431,629.838,601.402,572.504
CDA,3.682,7.301,11.039,2.121,0.0,1.735
PINK1,211.715,257.968,218.938,184.498,171.971,157.005
RP11-401M16.7,128.87,114.382,134.306,75.284,87.477,105.826
DDOST,6163.671,6381.051,6510.177,5456.474,5661.131,5232.338
KIF17,11.967,7.301,16.558,2.121,0.0,6.939
SH2D5,7.364,7.301,5.519,46.655,56.661,32.095
RP5-930J4.2,1.841,0.0,0.0,3.181,0.0,4.337
HP1BP3,2994.388,3255.017,3097.324,1831.195,1847.944,1753.943
EIF4G3,2781.752,2736.648,2827.792,1362.528,1417.519,1439.934
MIR1256,1.841,2.434,9.199,1.06,2.982,0.867
RP11-487E1.1,0.0,3.65,1.84,0.0,1.988,1.735
RP11-487E1.2,0.0,0.0,3.68,3.181,0.994,0.0
RP11-628K18.1,9.205,8.518,9.199,6.362,3.976,6.072
ECE1,22369.081,25492.566,26072.904,16627.084,17183.198,17131.743
RP3-329E20.2,46.946,8.518,22.998,26.508,25.845,22.553
RP5-1071N3.1,10.126,6.084,18.398,12.724,12.923,15.614
RP11-293F5.2,5.523,12.168,20.238,6.362,13.917,6.939
HS6ST1P,5.523,3.65,6.439,15.905,3.976,2.602
RP11-293F5.4,1.841,0.0,0.0,0.0,0.0,0.0
NBPF3,361.757,306.641,316.448,227.972,239.567,205.581
ALPL,0.0,0.0,1.84,0.0,0.0,1.735
RAP1GAP,8.285,7.301,3.68,1.06,1.988,0.0
USP48,2060.08,2130.667,2061.51,1653.059,1805.2,1835.482
RP11-132G19.3,5.523,2.434,3.68,2.121,1.988,3.47
LDLRAD2,37.741,36.505,37.716,74.223,63.619,53.781
HSPG2,8075.55,9592.263,10810.739,27233.596,24858.281,25255.225
RP11-26H16.1,18.41,8.518,10.119,30.75,20.875,26.023
CELA3B,0.0,0.0,3.68,4.241,9.941,2.602
CELA3A,0.921,0.0,1.84,1.06,2.982,2.602
