,Human_ABCD1_1,Human_ABCD1_2,Human_ABCD1_3,Human_NT_1,Human_NT_2,Human_NT_3
KLC4,331.38,311.508,288.851,289.471,341.954,284.517
MRPL2,154.644,143.586,163.743,378.539,382.71,389.476
RP11-387M24.5,0.0,0.0,1.84,0.0,0.0,0.0
PTK7,111.381,152.104,95.67,54.077,59.643,52.046
SRF,580.836,623.016,637.495,624.536,673.968,549.951
CUL9,816.484,737.398,677.971,1046.549,1045.744,968.919
DNPH1,92.05,138.718,84.631,272.506,180.918,222.062
TTBK1,18.41,14.602,11.039,3.181,1.988,2.602
CRIP3,0.0,0.0,1.84,0.0,0.0,0.0
ZNF318,897.488,870.033,854.593,676.493,626.253,615.008
RP11-480N24.3,0.0,0.0,0.92,0.0,0.0,0.0
RP11-480N24.4,0.0,2.434,1.84,2.121,0.0,0.0
RP11-480N24.6,0.0,0.0,3.68,2.121,0.0,3.47
RP11-213N20.1,0.921,0.0,0.0,0.0,0.0,0.0
ABCC10,441.84,459.961,482.951,710.423,726.653,645.368
MIR6780B,2.762,0.0,0.0,0.0,2.982,0.867
DLK2,6.444,15.819,5.519,7.422,15.905,5.205
TJAP1,237.489,244.583,270.452,398.685,325.055,349.574
LRRC73,3.682,2.434,3.68,4.241,3.976,3.47
POLR1C,243.012,284.738,299.889,413.53,402.591,419.836
YIPF3,1897.151,1933.541,1873.849,1733.645,1729.652,1674.14
RP3-337H4.9,0.921,1.217,4.6,0.0,5.964,0.867
XPO5,1022.676,1001.45,1099.288,1273.46,1243.56,1163.224
RP3-337H4.6,7.364,15.819,11.039,19.086,6.958,8.674
POLH,610.292,616.932,557.463,932.033,909.558,994.075
RP3-337H4.8,8.285,7.301,7.359,18.026,12.923,27.758
GTPBP2,1062.258,974.68,1090.089,1376.312,1256.483,1290.736
MAD2L1BP,250.376,254.317,266.773,541.83,481.122,524.795
RSPH9,38.661,12.168,34.037,59.379,24.851,21.686
MRPS18A,245.774,256.751,229.977,368.996,432.413,442.389
RP1-261G23.4,0.0,0.0,0.0,0.0,1.988,0.0
VEGFA,114.142,98.563,143.505,327.643,289.269,281.047
C6orf223,0.0,0.0,0.0,2.121,0.0,0.0
RP5-1120P11.3,0.0,0.0,0.92,1.06,0.0,3.47
RP5-1120P11.4,0.0,0.0,0.92,2.121,0.0,0.0
MRPL14,506.275,529.321,532.626,897.042,839.975,811.047
TMEM63B,764.015,812.842,820.556,1065.635,1009.958,1012.291
CAPN11,22.092,32.854,18.398,42.413,43.738,20.818
