GeneID,Base mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj,q,logFC
TAGLN2,3702.9517939137895,-2.9543438054357303,0.0562858879654518,52.4881797591805,0.0,0.0,302.671,-2.954
UHMK1,3543.83940327986,-3.2250177211439706,0.0676721008651336,47.6565331933648,0.0,0.0,302.671,-3.225
CSRP1,4592.5877756459295,1.85696683083255,0.046232488224367006,-40.165842292992295,0.0,0.0,302.671,1.857
CAPN2,10417.7153654098,2.11623330565015,0.0455640155858828,-46.44527657272221,0.0,0.0,302.671,2.116
RHOB,10401.1542919361,-1.75829547055461,0.0453842861321275,38.7423846534827,0.0,0.0,302.671,-1.758
ADAM23,1237.69204414547,3.2131911892519396,0.0823303140191719,-39.0280448645404,0.0,0.0,302.671,3.213
STT3B,2848.0336326661604,2.5946181472137098,0.0592977441926229,-43.7557647856779,0.0,0.0,302.671,2.595
FSTL1,18350.2032605815,1.5765406477093202,0.03653809126208701,-43.147865508376796,0.0,0.0,302.671,1.577
AP2M1,5152.01040667875,2.68665618314583,0.0513382927930819,-52.332402130595796,0.0,0.0,302.671,2.687
EIF4G1,6597.4296959268,-2.7173814592817496,0.0440382164715537,61.7050752052374,0.0,0.0,302.671,-2.717
ESM1,3959.19213847948,-3.22725234386904,0.0601772266731397,53.6291305247128,0.0,0.0,302.671,-3.227
IL6ST,31188.2430996516,2.74668878148629,0.046499299860728004,-59.069465340618294,0.0,0.0,302.671,2.747
G3BP1,4868.81678431535,-2.40920629771015,0.0486335929752025,49.5379047757907,0.0,0.0,302.671,-2.409
ATP6V0E1,1515.23734108457,-3.4787639674032795,0.0793085499498787,43.8636687923532,0.0,0.0,302.671,-3.479
SQSTM1,7581.60290367374,-2.5889298652245496,0.0465346601971768,55.634442247020395,0.0,0.0,302.671,-2.589
RNF144B,2971.4570586958303,-2.5535617077543398,0.0632265037444519,40.3875203676498,0.0,0.0,302.671,-2.554
YWHAG,3443.41835815755,-2.20506210819398,0.0512472700959406,43.027894053007294,0.0,0.0,302.671,-2.205
CAV1,23113.0464509735,-4.56655174140561,0.0423885165773251,107.73086935173401,0.0,0.0,302.671,-4.567
SCARA3,3190.9481529743102,2.3113055438225096,0.0611260816370535,-37.81210052930071,0.0,0.0,302.671,2.311
IMPAD1,3613.9570887614204,2.69886714202075,0.0540153925525789,-49.964778824733294,0.0,0.0,302.671,2.699
ANKRD1,15603.569682003,-1.87381538869883,0.0403247360833242,46.4681376916368,0.0,0.0,302.671,-1.874
SWAP70,5159.88450676733,-2.25174053839335,0.0479181112022873,46.9914293759948,0.0,0.0,302.671,-2.252
DKK3,4896.90686829317,2.03696997923871,0.0481481195763825,-42.306324673952105,0.0,0.0,302.671,2.037
FZD4,6154.279514139879,-2.31360936541404,0.0433952430815852,53.314815199083796,0.0,0.0,302.671,-2.314
ENDOD1,3553.6151453767297,2.11117591930078,0.0510963409908519,-41.317555785036795,0.0,0.0,302.671,2.111
MGP,3291.12579303662,2.60998545901458,0.0591521584946427,-44.123249690895996,0.0,0.0,302.671,2.61
PXN,2432.40513811453,-2.5071517515950803,0.0591423328315927,42.3918305477428,0.0,0.0,302.671,-2.507
WARS,5781.361320788559,-2.63262458161785,0.0557731871005756,47.2023335670319,0.0,0.0,302.671,-2.633
NORAD,6530.89000611042,-2.2527276894158796,0.0513569247460887,43.864146861469706,0.0,0.0,302.671,-2.253
CSF2RB,1754.63931962464,-2.85667891482526,0.0754582623430271,37.8577352051792,0.0,0.0,302.671,-2.857
TMSB4X,10912.9926065367,-1.6213612852634098,0.0366323913235694,44.2603178957694,0.0,0.0,302.671,-1.621
SAT1,5854.63908464312,-1.81093565862423,0.0442399028373569,40.93444023333279,0.0,0.0,302.671,-1.811
APLN,6777.231314025699,-2.5979962795689704,0.0487589167676225,53.282485580034894,0.0,0.0,302.671,-2.598
DPYSL2,5172.142622571079,1.7927466822383502,0.0479255143217501,-37.4069367352568,3.013853832659278e-306,2.132922085924929e-303,302.671,1.793
SLC39A6,1342.81662084635,3.26836757362648,0.0876290646696495,-37.2977571533807,1.7843992960796192e-304,1.2267490246362191e-301,300.911,3.268
SEPT9,2381.71983572731,2.4260194111696096,0.0653692513350916,-37.112546979213704,1.763093906251579e-301,1.1784323770062591e-298,297.929,2.426
AMOTL2,3096.33120320784,-1.9542300486675102,0.0530887331820537,36.810636297649104,1.247822937935379e-296,8.114896089892187e-294,293.091,-1.954
ADD3,2596.83044190821,2.31162957482289,0.0628659717412831,-36.770760250650504,5.417043914298547e-296,3.4301292280487277e-293,292.465,2.312
ARPC2,5823.37209208718,1.60274190963826,0.0439243168383118,-36.488715704744,1.674527598371899e-291,1.0331405915903794e-288,287.986,1.603
NRG1,1600.2697801856302,-2.7936988294702405,0.07705154378545599,36.2575321949301,7.560887750210787e-288,4.548252026139297e-285,284.342,-2.794
EXT2,4080.32820107666,1.7142111874510602,0.0474143656248318,-36.15383575971121,3.238397242251088e-286,1.9005442547084291e-283,282.721,1.714
TNFRSF21,1017.23229489909,-3.61218689788938,0.10014729125566,36.068742874613,7.012259933968487e-285,4.017357107884518e-282,281.396,-3.612
RND3,6348.79302826153,-1.7761181101995,0.0499648403130204,35.5473588842164,9.127226810631124e-277,5.107426314358287e-274,273.292,-1.776
TNFRSF10B,7972.27446837615,-1.36084216766596,0.0383183430098122,35.514118324936106,2.976274947849278e-276,1.6276165407988495e-273,272.788,-1.361
EPHA2,2559.25978207587,-2.12929519464354,0.0601097063165606,35.4234835790058,7.428652352149875e-275,3.972182953276228e-272,271.401,-2.129
